Product,Rate,Top_Sell_Rank,Popularity_Rank
GARUDA 16*20 BLUE,26.0,52,39
GOLD LEAF SITTING,750.0,209,35
GOLD LEAF SITTING(1,780.0,510,401
GOLD PLATE COVER,75.0,343,304
GOLD ROLLS,90.0,631,655
GREEN 10*12 BK,17.0,492,655
GREEN SCRUBBER,46.0,670,732
GST AMOUNT,39478.5,499,228
HAND GLOVE 25PCS,15.0,173,142
HAND GLOVES 100PCS-,50.0,192,183
HAND GLOVES-100PCS,35.0,633,545
HARITH M.W 10*12,100.0,246,197
HARITHA M.W 13*16,100.0,262,210
HARITHA M.W 16*20,100.0,406,316
HEXA GLASS,35.0,501,655
HIGH COUNT 10*12,165.0,418,251
HIGH COUNT 10*12 BL,165.0,276,180
HIGH COUNT 13*16,160.0,288,209
HIGH COUNT 16*20,160.0,189,113
HIGH COUNT 16*20 BL,165.0,206,97
HIGH COUNT 17*20,165.0,561,414
HIGH COUNT CLR 10*1,160.0,589,432
HIGH COUNT CLR 16*2,160.0,696,467
HIGH COUNT CLR 8*11,105.0,727,732
HIGH COUNT CLR KG 1,165.0,523,388
HIGH COUNTING BLUE ,165.0,207,123
JIO 10*12 MW,100.0,602,502
JIO 13*16 MW,100.0,528,452
JIO 16*20 MW,100.0,587,458
JUMBO 30*50 COVER,120.0,467,392
JUMBO BIG SPOON,70.0,774,732
KARNA 10*12 100BK,15.0,118,438
KARNA 10*12 100W,8.0,106,298
KARNA 13*16 100 W,15.0,145,336
KARNA 13*16 BLACK,32.0,474,732
KARNA COLOURS 10*12,5.4,301,732
KARNA RED 10*12,5.4,248,712
KARNA-10*12 BLU,6.8,272,586
KAVITHA GOLD 10*12,5.57,182,534
KESAW M.W 10*12,110.0,489,425
KESAW M.W 16*20,110.0,438,368
KESHAV M.W 24*30,110.0,688,579
KIRANA HM,160.0,619,552
KRISHNA 10*12 RED,6.3,126,520
KRISHNA 13*16 RED,13.06,215,534
KRISHNA 13*16(100)N,16.5,131,242
L.D,180.0,699,577
L.D COLOUR KG,160.0,834,732
LARGE BOUL(42),2100.0,716,386
